id,active,applies_to_type,can_delete,master_data,direction_usb,direction,domain,included_fields,type_id,model_id,owner_field,name,status,forced_values,sequence_number
msf_sync_data_server.section_partner,TRUE,TRUE,FALSE,TRUE,bidirectional,Down,"[('partner_type' , '=' , 'esc')]","['comment', 'credit_limit', 'customer', 'customer_lt', 'lang', 'manufacturer', 'name', 'partner_type', 'po_by_project', 'procurement_lt', 'ref', 'split_po', 'supplier', 'supplier_lt', 'transport_0', 'transport_0_lt', 'transport_1', 'transport_1_lt', 'transport_2', 'transport_2_lt', 'transporter', 'zone', 'legal_name']",OC,res.partner,,Section Partner,Valid,"{'active':False}",300
msf_sync_data_server.section_partner_tree,TRUE,TRUE,FALSE,TRUE,bidirectional,Down,"[('partner_type','=','esc') , ('parent_id', '!=', '')]",['parent_id/id'],OC,res.partner,,Section Partner Tree,Valid,,301
msf_sync_data_server.section_partner_address,TRUE,TRUE,FALSE,TRUE,bidirectional,Down,"[('partner_id.partner_type', '=', 'esc')]","['active', 'city', 'country_id/id', 'email', 'fax', 'function', 'mobile', 'name', 'partner_id/id', 'phone', 'state_id/id', 'street', 'street2', 'title/id', 'type', 'zip']",OC,res.partner.address,,Section Partner Address,Valid,,302
msf_sync_data_server.intersection_partner,TRUE,TRUE,FALSE,TRUE,bidirectional,Down,"[('active', 'in', ['t', 'f']),('partner_type' , '=' , 'section')]","['customer', 'manufacturer', 'name', 'partner_type', 'ref', 'supplier', 'transporter', 'legal_name']",OC,res.partner,,Intersection Partner,Valid,"{'customer': True, 'supplier': True, 'active': False}",306
msf_sync_data_server.intersection_partner_tree,TRUE,TRUE,FALSE,TRUE,bidirectional,Down,"[('active', 'in', ['t', 'f']),('partner_type','=','section') , ('parent_id', '!=', '')]",['parent_id/id'],OC,res.partner,,Intersection Partner Tree,Valid,,307
